model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16)]",5,0.7000333333333333,0.7845666666666666,89.23,0.08453333333333331,0.0877999999999999,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",5,0.6933666666666666,0.7845666666666666,88.38,0.09119999999999996,0.0936,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 13), (14, 15), (16, 17), (18, 19), (20, 21)]",5,0.6906666666666667,0.7845666666666666,88.03,0.09389999999999997,0.0980999999999999,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",5,0.6875333333333332,0.7845666666666666,87.63,0.0970333333333333,0.0983999999999999,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",6,0.6806000000000001,0.7845666666666666,86.75,0.1039666666666666,0.1063999999999999,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17)]",6,0.6800333333333333,0.7845666666666666,86.68,0.1045333333333333,0.1097,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18)]",6,0.6732999999999999,0.7845666666666666,85.82,0.11126666666666667,0.1145,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",6,0.6723333333333333,0.7845666666666666,85.69,0.1122333333333333,0.1138,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21)]",6,0.6691333333333334,0.7845666666666666,85.29,0.11543333333333328,0.1181999999999999,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",6,0.6682,0.7845666666666666,85.17,0.11636666666666663,0.122,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",6,0.6604666666666666,0.7845666666666666,84.18,0.12409999999999995,0.1248,22.91683602959109,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",7,0.6553,0.7845666666666666,83.52,0.12926666666666664,0.1313,26.736308701189603,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",7,0.6449333333333334,0.7845666666666666,82.2,0.13963333333333328,0.1416999999999999,26.736308701189603,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21)]",7,0.6368333333333334,0.7845666666666666,81.17,0.14773333333333327,0.1486999999999999,26.736308701189603,identity,identity
