model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,imagenet-1k,"[(16, 19)]",1,0.7271000000000001,0.7845666666666666,92.68,0.05746666666666663,0.0601999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(19, 22)]",1,0.7242666666666667,0.7845666666666666,92.31,0.060299999999999965,0.0643,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 15)]",1,0.7189333333333333,0.7845666666666666,91.63,0.06563333333333334,0.0703,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(19, 23)]",1,0.7171666666666666,0.7845666666666666,91.41,0.06739999999999996,0.0702,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 14)]",1,0.7111999999999999,0.7845666666666666,90.65,0.07336666666666664,0.0757000000000001,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 19)]",1,0.7061999999999999,0.7845666666666666,90.01,0.0783666666666666,0.0799999999999999,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(18, 21)]",1,0.7048333333333333,0.7845666666666666,89.84,0.07973333333333327,0.0860999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 11)]",1,0.7044666666666667,0.7845666666666666,89.79,0.08009999999999994,0.0812999999999999,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(17, 20)]",1,0.7042,0.7845666666666666,89.76,0.08036666666666664,0.0818999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 18)]",1,0.7041666666666666,0.7845666666666666,89.75,0.0804,0.0828000000000001,20.486139338265183,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 12)]",1,0.7027666666666667,0.7845666666666666,89.57,0.08179999999999993,0.0857999999999999,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 10)]",1,0.7019666666666667,0.7845666666666666,89.47,0.08259999999999997,0.0850999999999999,16.319472671598515,identity,identity
