seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.8646,0.8641,0.0005,250,0.01,24142848,7.986139338265182
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.8609,0.8589,0.002,250,0.01,24142848,7.986139338265182
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.8657,0.8608,0.0049,250,0.01,24142848,7.986139338265182
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.7864,0.7505,0.0359,250,0.0019,24142848,7.986139338265182
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.7835,0.7449,0.0385999999999999,250,0.0019,24142848,7.986139338265182
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.7838,0.7505,0.0333000000000001,250,0.0019,24142848,7.986139338265182
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.5803949538626131,0.5898007399812776,-0.0094057861186644,250,0.5317166674096198,25192448,8.333333333333334
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6116435608255695,0.6272901528997459,-0.0156465920741764,250,0.5317166674096198,25192448,8.333333333333334
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6525654170195694,0.643337939642491,0.0092274773770784,250,0.5317166674096198,25192448,8.333333333333334
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.5803949538626131,0.5845406321044889,-0.0041456782418758,250,0.5317166674096198,24142848,7.986139338265182
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6116435608255695,0.6128471448312753,-0.0012035840057058,250,0.5317166674096198,24142848,7.986139338265182
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6525654170195694,0.649757054339589,0.0028083626799804,250,0.5317166674096198,24142848,7.986139338265182
1,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.5803949538626131,0.5852984442562297,-0.0049034903936165,250,0.5317166674096198,24142848,7.986139338265182
2,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6116435608255695,0.6088351981455891,0.0028083626799804,250,0.5317166674096198,24142848,7.986139338265182
3,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6525654170195694,0.648375161592297,0.0041902554272723,250,0.5317166674096198,24142848,7.986139338265182
1,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.5803949538626131,0.5772299736994606,0.0031649801631524,250,0.5317166674096198,24142848,7.986139338265182
2,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6116435608255695,0.6142290375785673,-0.0025854767529978,250,0.5317166674096198,24142848,7.986139338265182
3,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6525654170195694,0.6475727722551599,0.0049926447644095,250,0.5317166674096198,24142848,7.986139338265182
1,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.5803949538626131,0.5757143493959791,0.0046806044666339,250,0.5317166674096198,24142848,7.986139338265182
2,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6116435608255695,0.6216288503543886,-0.0099852895288191,250,0.5317166674096198,24142848,7.986139338265182
3,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.6525654170195694,0.6473498863281772,0.0052155306913921,250,0.5317166674096198,24142848,7.986139338265182
1,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.8461538461538461,0.8461538461538461,0.0,250,0.625,36739072,12.152806004931849
2,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.8573717948717948,0.8509615384615384,0.0064102564102563,250,0.625,36739072,12.152806004931849
3,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.7948717948717948,0.8044871794871795,-0.0096153846153846,250,0.625,36739072,12.152806004931849
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.8646,0.8684,-0.0037999999999999,250,0.01,36739072,12.152806004931849
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.8609,0.8595,0.0013999999999999,250,0.01,36739072,12.152806004931849
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.8657,0.8615,0.0041999999999999,250,0.01,36739072,12.152806004931849
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.7864,0.7421,0.0443,250,0.0019,36739072,12.152806004931849
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.7835,0.7434,0.0401,250,0.0019,36739072,12.152806004931849
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.7838,0.7436,0.0402,250,0.0019,36739072,12.152806004931849
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 23)]",[],[],{},identity,identity,3,0.5803949538626131,0.5865911826327286,-0.0061962287701154,250,0.5317166674096198,37788672,12.5
