seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],{},linear,identity,0,0.7216957605985037,0.7471321695760599,-0.0254364089775561,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],{},linear,identity,0,0.7321695760598503,0.7476309226932668,-0.0154613466334164,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],{},linear,identity,0,0.7311720698254364,0.7351620947630922,-0.0039900249376558,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3]",[],{},linear,identity,0,0.7216957605985037,0.7356608478802993,-0.0139650872817955,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3]",[],{},linear,identity,0,0.7321695760598503,0.7226932668329177,0.0094763092269326,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3]",[],{},linear,identity,0,0.7311720698254364,0.7316708229426434,-0.000498753117207,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[1],[],{},linear,identity,0,0.7216957605985037,0.7406483790523691,-0.0189526184538654,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[1],[],{},linear,identity,0,0.7321695760598503,0.7326683291770574,-0.000498753117207,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[1],[],{},linear,identity,0,0.7311720698254364,0.7436408977556109,-0.0124688279301745,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[6],[],{},linear,identity,0,0.7216957605985037,0.7117206982543641,0.0099750623441395,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[6],[],{},linear,identity,0,0.7321695760598503,0.7371571072319202,-0.0049875311720698,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[6],[],{},linear,identity,0,0.7311720698254364,0.7241895261845387,0.0069825436408976,250
1,dermamnist,microsoft/rad-dino,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.6947630922693266,0.6947630922693266,0.0,250
2,dermamnist,microsoft/rad-dino,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.6987531172069825,0.6987531172069825,0.0,250
