model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4, 5, 8, 9, 10, 11], 2: [0, 2, 7, 8, 9, 10], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 6: [0, 1, 3, 4, 5, 7, 11], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 9: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], 10: [0, 1, 2, 5, 7, 8, 9, 11], 11: [0, 1, 3, 6, 8]}",111,0.5529666666666667,0.005704676444228278
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 1: [0, 1, 2, 3, 4, 5, 8, 9, 10, 11], 2: [0, 2, 7, 8], 3: [0, 1, 2, 3, 4, 6, 7, 8], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 2, 3, 4, 5, 6, 7, 9, 10], 6: [0, 1, 3, 4, 5], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 8: [0, 1, 3, 4, 5, 7, 9], 9: [0, 1, 2, 4, 6, 7, 9, 10], 10: [0, 1, 3, 10], 11: [0, 3, 6]}",88,0.22863333333333333,0.007788666980512985
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 3, 4, 6, 7, 8, 9], 1: [0, 1, 2, 3, 4, 5, 8, 10, 11], 2: [0, 2, 7, 8], 3: [0, 1, 2, 3, 7, 8], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8], 5: [0, 3, 4, 5, 6, 7, 9, 10], 6: [0, 1, 4, 5], 7: [0, 2, 3, 4, 6, 9, 10], 8: [0, 5, 9], 9: [0, 1, 6, 11], 10: [0, 10], 11: [0, 3, 9]}",68,0.08133333333333333,0.003538832199092422
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 3, 6, 7, 8, 9], 1: [0, 1, 2, 3, 4, 5, 8], 2: [0, 2, 8], 3: [0, 1, 2, 3, 8, 11], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 4, 5, 10, 11], 6: [0, 1, 5], 7: [0, 3, 4, 6, 7, 9, 10], 8: [0, 5], 9: [0], 10: [0], 11: [0]}",52,0.024666666666666667,0.003484728588187801
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 4, 6, 7, 8, 9], 1: [0, 1, 2, 3, 4, 8], 2: [0, 2, 8], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3], 6: [0, 1, 5], 7: [0, 3, 6, 7], 8: [0], 9: [0], 10: [0], 11: [0]}",42,0.01576666666666667,0.004140450861118064
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3], 6: [0, 1, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",37,0.012000000000000002,0.003304542328371661
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 7], 5: [0], 6: [0, 1, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",35,0.013833333333333331,0.004535783651513079
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7, 8, 9], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 3, 4, 8], 5: [0], 6: [0, 1, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",33,0.013366666666666667,0.0038798625405203893
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7, 9], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 3, 6], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",28,0.015,0.0020223748416156677
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 8], 4: [0, 3, 4], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",25,0.010433333333333334,0.003685557397915996
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7], 1: [0, 1, 2, 3, 5], 2: [0], 3: [0, 1, 2, 8], 4: [0, 3, 4], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",24,0.0114,0.004457577817604534
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6, 7], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1, 2, 8], 4: [0, 3], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",22,0.0112,0.0033778691508109084
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 6], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",18,0.011066666666666667,0.003924708057083143
facebook/dinov2-base,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",15,0.011233333333333333,0.004352393977265079
facebook/dinov2-base,imagenet-1k,"{0: [0], 1: [0], 2: [0], 3: [0, 2], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",13,0.0112,0.003686461718233352
facebook/dinov2-base,imagenet-1k,{},144,0.7418,0.0007549834435271022
facebook/dinov2-base,mnist,"{0: [0, 1, 2, 3, 5, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4, 5, 8, 10, 11], 2: [0, 2, 4, 7, 8, 9, 10], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 11], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11], 6: [0, 1, 3, 4, 5, 6, 7], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 8: [0, 1, 2, 3, 4, 5, 7, 8, 9], 9: [0, 1, 2, 4, 5, 7, 9, 10], 10: [0, 3, 7, 10, 11], 11: [0, 2, 5, 6]}",100,0.9706666666666667,0.003873413653785699
facebook/dinov2-base,mnist,"{0: [0, 1, 2, 3, 7, 8, 9, 10, 11], 1: [0, 1, 2, 3, 4, 5, 10, 11], 2: [0, 2, 7, 8, 9], 3: [0, 1, 2, 3, 5, 6, 7, 8], 4: [0, 1, 2, 3, 4, 6, 7, 8], 5: [0, 2, 3, 4, 5, 6, 7, 9, 10], 6: [0, 1, 4, 5], 7: [0, 1, 2, 3, 4, 6, 9, 11], 8: [0, 1, 2, 3, 4, 7, 8, 9], 9: [0, 1, 3], 10: [0], 11: [0, 3, 6]}",74,0.8733,0.027430457524438002
facebook/dinov2-base,mnist,"{0: [0, 1, 2, 3, 8, 9, 10], 1: [0, 1, 2, 3, 4, 5, 10, 11], 2: [0, 2, 8, 9], 3: [0, 1, 2, 3, 5, 6, 8], 4: [0, 1, 2, 3, 4, 6, 7, 8], 5: [0, 2, 3, 4, 5, 10], 6: [0, 1, 5], 7: [0, 2, 3, 4, 6, 9], 8: [0, 1, 2, 4, 7, 9], 9: [0, 1, 4, 7], 10: [0], 11: [0, 6]}",62,0.8915666666666667,0.00757979771058121
